County,State(Code),Deaths,Population,Crude Rate Per 100000
Erie County, NY (36029),106,"921,046",11.5
Genesee County, NY (36037),10,"58,482",Unreliable
Jefferson County, NY (36045),18,"114,006",Unreliable
Kings County, NY (36047),135,"2,629,150",5.1
Livingston County, NY (36051),10,"64,257",Unreliable
Monroe County, NY (36055),82,"747,727",11
Nassau County, NY (36059),111,"1,361,500",8.2
New York County, NY (36061),116,"1,643,734",7.1
Niagara County, NY (36063),36,"211,758",17
Oneida County, NY (36065),19,"231,190",Unreliable
Onondaga County, NY (36067),51,"466,194",10.9
Ontario County, NY (36069),14,"109,828",Unreliable
Orange County, NY (36071),21,"379,210",5.5
Oswego County, NY (36075),19,"118,987",Unreliable
Putnam County, NY (36079),10,"98,900",Unreliable
Queens County, NY (36081),153,"2,333,054",6.6
Rensselaer County, NY (36083),18,"160,070",Unreliable
Richmond County, NY (36085),32,"476,015",6.7
Rockland County, NY (36087),19,"326,780",Unreliable
St. Lawrence County, NY (36089),12,"110,038",Unreliable
Saratoga County, NY (36091),26,"227,053",11.5
Schenectady County, NY (36093),20,"154,553",12.9
Steuben County, NY (36101),11,"96,940",Unreliable
Suffolk County, NY (36103),140,"1,492,583",9.4
Sullivan County, NY (36105),13,"74,801",Unreliable
Tompkins County, NY (36109),14,"104,871",Unreliable
Ulster County, NY (36111),21,"179,225",11.7
Wayne County, NY (36117),10,"90,798",Unreliable
Westchester County, NY (36119),71,"974,542",7.3
Alamance County, NC (37001),25,"159,688",15.7
Alexander County, NC (37003),11,"37,428",Unreliable
Brunswick County, NC (37019),12,"126,953",Unreliable
Buncombe County, NC (37021),48,"256,088",18.7
Burke County, NC (37023),24,"88,851",27
Cabarrus County, NC (37025),21,"201,590",10.4
Caldwell County, NC (37027),17,"81,449",Unreliable
Carteret County, NC (37031),17,"68,890",Unreliable
Catawba County, NC (37035),32,"156,459",20.5
