County,State(Code),Deaths,Population,Crude Rate Per 100000
Schuylkill County, PA (42107),10,"143,573",Unreliable
Washington County, PA (42125),20,"207,981",9.6
Westmoreland County, PA (42129),36,"355,458",10.1
York County, PA (42133),34,"443,744",7.7
Kent County, RI (44003),10,"164,614",Unreliable
Providence County, RI (44007),59,"633,673",9.3
Washington County, RI (44009),18,"126,288",Unreliable
Aiken County, SC (45003),10,"167,458",Unreliable
Anderson County, SC (45007),16,"196,569",Unreliable
Beaufort County, SC (45013),28,"183,149",15.3
Berkeley County, SC (45015),17,"210,898",Unreliable
Charleston County, SC (45019),23,"396,484",5.8
Dorchester County, SC (45035),11,"153,773",Unreliable
Florence County, SC (45041),16,"138,742",Unreliable
Georgetown County, SC (45043),11,"61,399",Unreliable
Greenville County, SC (45045),41,"498,766",8.2
Greenwood County, SC (45047),18,"70,133",Unreliable
Horry County, SC (45051),15,"322,342",Unreliable
Laurens County, SC (45059),12,"66,777",Unreliable
Lexington County, SC (45063),27,"286,196",9.4
Marion County, SC (45067),17,"31,726",Unreliable
Orangeburg County, SC (45075),18,"87,903",Unreliable
Richland County, SC (45079),33,"409,549",8.1
Spartanburg County, SC (45083),23,"301,463",7.6
Sumter County, SC (45085),14,"107,396",Unreliable
York County, SC (45091),28,"258,526",10.8
Minnehaha County, SD (46099),17,"187,318",Unreliable
Pennington County, SD (46103),11,"109,372",Unreliable
Blount County, TN (47009),15,"128,670",Unreliable
Cumberland County, TN (47035),24,"58,655",40.9
Davidson County, TN (47037),51,"684,410",7.5
