County,State(Code),Deaths,Population,Crude Rate Per 100000
Roscommon County, MI (26143),11,"23,700",Unreliable
Saginaw County, MI (26145),57,"192,326",29.6
St. Clair County, MI (26147),18,"159,587",Unreliable
St. Joseph County, MI (26149),13,"60,853",Unreliable
Sanilac County, MI (26151),15,"41,409",Unreliable
Shiawassee County, MI (26155),17,"68,554",Unreliable
Van Buren County, MI (26159),13,"75,223",Unreliable
Washtenaw County, MI (26161),26,"364,709",7.1
Wayne County, MI (26163),376,"1,749,366",21.5
Anoka County, MN (27003),20,"345,957",5.8
Blue Earth County, MN (27013),10,"66,441",Unreliable
Crow Wing County, MN (27035),10,"63,940",Unreliable
Dakota County, MN (27037),39,"417,486",9.3
Douglas County, MN (27041),10,"37,456",Unreliable
Hennepin County, MN (27053),125,"1,232,483",10.1
Itasca County, MN (27061),12,"45,242",Unreliable
Otter Tail County, MN (27111),13,"58,085",Unreliable
Ramsey County, MN (27123),65,"540,649",12
St. Louis County, MN (27137),29,"199,980",14.5
Stearns County, MN (27145),19,"155,652",Unreliable
Washington County, MN (27163),19,"253,117",Unreliable
Winona County, MN (27169),11,"50,948",Unreliable
Alcorn County, MS (28003),13,"37,304",Unreliable
Bolivar County, MS (28011),13,"32,737",Unreliable
DeSoto County, MS (28033),27,"175,611",15.4
Forrest County, MS (28035),19,"75,979",Unreliable
Grenada County, MS (28043),10,"21,275",Unreliable
Hancock County, MS (28045),13,"46,791",Unreliable
Harrison County, MS (28047),64,"203,234",31.5
Hinds County, MS (28049),50,"241,229",20.7
Jackson County, MS (28059),20,"141,241",14.2
Jones County, MS (28067),16,"67,953",Unreliable
Lamar County, MS (28073),14,"60,914",Unreliable
Lauderdale County, MS (28075),18,"77,755",Unreliable
Lee County, MS (28081),18,"85,381",Unreliable
Lincoln County, MS (28085),11,"34,523",Unreliable
Lowndes County, MS (28087),13,"59,602",Unreliable
Madison County, MS (28089),12,"105,114",Unreliable
Marion County, MS (28091),13,"25,251",Unreliable
Neshoba County, MS (28099),14,"29,403",Unreliable
Oktibbeha County, MS (28105),11,"49,833",Unreliable
Pearl River County, MS (28109),16,"55,310",Unreliable
Pike County, MS (28113),15,"39,667",Unreliable
Prentiss County, MS (28117),10,"25,256",Unreliable
Rankin County, MS (28121),28,"150,228",18.6
Union County, MS (28145),10,"28,311",Unreliable
Warren County, MS (28149),25,"47,140",53
Washington County, MS (28151),42,"47,231",88.9
Audrain County, MO (29007),11,"26,021",Unreliable
Barry County, MO (29009),11,"35,732",Unreliable
Bates County, MO (29013),12,"16,417",Unreliable
Boone County, MO (29019),19,"176,594",Unreliable
Buchanan County, MO (29021),12,"88,938",Unreliable
Butler County, MO (29023),19,"42,739",Unreliable
Camden County, MO (29029),11,"44,497",Unreliable
Cape Girardeau County, MO (29031),23,"78,913",29.1
Cass County, MO (29037),15,"102,845",Unreliable
Christian County, MO (29043),18,"84,401",Unreliable
Clay County, MO (29047),36,"239,085",15.1
Cole County, MO (29051),13,"76,631",Unreliable
Franklin County, MO (29071),23,"102,838",22.4
Greene County, MO (29077),58,"288,690",20.1
Jackson County, MO (29095),189,"691,801",27.3
Jasper County, MO (29097),27,"119,111",22.7
Jefferson County, MO (29099),39,"224,226",17.4
Johnson County, MO (29101),12,"53,942",Unreliable
Laclede County, MO (29105),12,"35,490",Unreliable
Lawrence County, MO (29109),18,"38,381",Unreliable
Lincoln County, MO (29113),10,"55,267",Unreliable
New Madrid County, MO (29143),10,"17,915",Unreliable
Ozark County, MO (29153),10,"9,237",Unreliable
Pettis County, MO (29159),20,"42,213",47.4
Phelps County, MO (29161),26,"44,608",58.3
Platte County, MO (29165),10,"98,309",Unreliable
Pulaski County, MO (29169),10,"52,654",Unreliable
Randolph County, MO (29175),10,"24,989",Unreliable
Ray County, MO (29177),10,"22,754",Unreliable
St. Charles County, MO (29183),68,"390,918",17.4
St. Francois County, MO (29187),16,"66,627",Unreliable
St. Louis County, MO (29189),243,"998,581",24.3
Scott County, MO (29201),10,"38,745",Unreliable
Taney County, MO (29213),17,"54,735",Unreliable
Texas County, MO (29215),19,"25,775",Unreliable
Warren County, MO (29219),10,"33,802",Unreliable
St. Louis city, MO (29510),86,"311,404",27.6
Cascade County, MT (30013),17,"81,755",Unreliable
Flathead County, MT (30029),21,"98,082",21.4
Missoula County, MT (30063),13,"116,130",Unreliable
Yellowstone County, MT (30111),16,"158,437",Unreliable
Adams County, NE (31001),11,"31,684",Unreliable
Douglas County, NE (31055),49,"554,995",8.8
Lancaster County, NE (31109),30,"309,637",9.7
Sarpy County, NE (31153),11,"179,023",Unreliable
Clark County, NV (32003),164,"2,155,664",7.6
Lyon County, NV (32019),11,"53,179",Unreliable
Nye County, NV (32023),13,"43,423",Unreliable
Washoe County, NV (32031),43,"453,616",9.5
Carson City, NV (32510),17,"54,742",Unreliable
Coos County, NH (33007),11,"32,039",Unreliable
Hillsborough County, NH (33011),53,"407,761",13
Merrimack County, NH (33013),15,"148,582",Unreliable
Rockingham County, NH (33015),30,"303,251",9.9
Strafford County, NH (33017),17,"127,428",Unreliable
Atlantic County, NJ (34001),57,"270,991",21
Bergen County, NJ (34003),139,"939,151",14.8
Burlington County, NJ (34005),103,"449,284",22.9
Camden County, NJ (34007),101,"510,150",19.8
Cape May County, NJ (34009),20,"94,430",21.2
Cumberland County, NJ (34011),22,"153,797",14.3
Essex County, NJ (34013),142,"796,914",17.8
Gloucester County, NJ (34015),50,"292,330",17.1
Hudson County, NJ (34017),74,"677,983",10.9
Hunterdon County, NJ (34019),14,"124,676",Unreliable
Mercer County, NJ (34021),45,"371,023",12.1
Middlesex County, NJ (34023),145,"837,073",17.3
Monmouth County, NJ (34025),107,"625,846",17.1
Morris County, NJ (34027),80,"498,423",16.1
Ocean County, NJ (34029),154,"592,497",26
