County,State(Code),Deaths,Population,Crude Rate Per 100000
Shelby County, IN (18145),27,"44,324",60.9
Starke County, IN (18149),14,"23,009",Unreliable
Steuben County, IN (18151),17,"34,116",Unreliable
Sullivan County, IN (18153),11,"20,802",Unreliable
Switzerland County, IN (18155),11,"10,527",Unreliable
Tippecanoe County, IN (18157),68,"188,059",36.2
Vanderburgh County, IN (18163),114,"181,721",62.7
Vermillion County, IN (18165),10,"15,645",Unreliable
Vigo County, IN (18167),48,"107,931",44.5
Wabash County, IN (18169),27,"31,762",85
Warrick County, IN (18173),23,"62,498",36.8
Washington County, IN (18175),12,"27,670",Unreliable
Wayne County, IN (18177),59,"66,568",88.6
Wells County, IN (18179),12,"27,949",Unreliable
White County, IN (18181),11,"23,999",Unreliable
Whitley County, IN (18183),19,"33,449",Unreliable
Audubon County, IA (19009),10,"5,678",Unreliable
Benton County, IA (19011),26,"25,699",101.2
Black Hawk County, IA (19013),70,"132,904",52.7
Boone County, IA (19015),21,"26,532",79.1
Bremer County, IA (19017),10,"24,798",Unreliable
Buchanan County, IA (19019),10,"20,992",Unreliable
Buena Vista County, IA (19021),10,"20,332",Unreliable
Butler County, IA (19023),11,"14,791",Unreliable
Carroll County, IA (19027),10,"20,437",Unreliable
Cerro Gordo County, IA (19033),35,"43,070",81.3
Clayton County, IA (19043),11,"17,590",Unreliable
Clinton County, IA (19045),29,"47,309",61.3
Crawford County, IA (19047),12,"16,940",Unreliable
Dallas County, IA (19049),23,"84,516",27.2
Delaware County, IA (19055),11,"17,327",Unreliable
Des Moines County, IA (19057),28,"39,739",70.5
Dubuque County, IA (19061),47,"97,003",48.5
Fayette County, IA (19065),16,"20,054",Unreliable
Floyd County, IA (19067),10,"15,873",Unreliable
Henry County, IA (19087),14,"19,773",Unreliable
Iowa County, IA (19095),10,"16,311",Unreliable
