County,State (Code),Deaths,Population,Crude Rate Per 100000
Geauga County, OH (39055),13,"94,060",Unreliable
Greene County, OH (39057),13,"164,765",Unreliable
Hamilton County, OH (39061),80,"809,099",9.9
Hancock County, OH (39063),13,"75,872",Unreliable
Knox County, OH (39083),10,"60,814",Unreliable
Lake County, OH (39085),21,"228,614",9.2
Licking County, OH (39089),25,"172,198",14.5
Lorain County, OH (39093),41,"306,365",13.4
Lucas County, OH (39095),55,"432,488",12.7
Mahoning County, OH (39099),21,"230,008",9.1
Medina County, OH (39103),19,"177,221",Unreliable
Montgomery County, OH (39113),44,"531,239",8.3
Portage County, OH (39133),15,"161,921",Unreliable
Richland County, OH (39139),12,"121,107",Unreliable
Ross County, OH (39141),15,"77,000",Unreliable
Stark County, OH (39151),63,"373,612",16.9
Summit County, OH (39153),55,"540,300",10.2
Trumbull County, OH (39155),19,"201,825",Unreliable
Tuscarawas County, OH (39157),11,"92,420",Unreliable
Warren County, OH (39165),20,"227,063",8.8
Washington County, OH (39167),13,"60,610",Unreliable
Wayne County, OH (39169),16,"116,470",Unreliable
Wood County, OH (39173),16,"130,219",Unreliable
Cleveland County, OK (40027),20,"278,655",7.2
Oklahoma County, OK (40109),64,"782,970",8.2
Tulsa County, OK (40143),51,"642,940",7.9
Benton County, OR (41003),12,"89,385",Unreliable
Clackamas County, OR (41005),46,"408,062",11.3
Coos County, OR (41011),13,"63,761",Unreliable
Deschutes County, OR (41017),34,"181,307",18.8
Douglas County, OR (41019),23,"108,457",21.2
Jackson County, OR (41029),30,"216,527",13.9
Josephine County, OR (41033),15,"85,904",Unreliable
Lane County, OR (41039),46,"369,519",12.4
Linn County, OR (41043),20,"122,849",16.3
Marion County, OR (41047),28,"336,316",8.3
Multnomah County, OR (41051),65,"799,766",8.1
Polk County, OR (41053),14,"81,823",Unreliable
Washington County, OR (41067),35,"582,779",6
Yamhill County, OR (41071),12,"105,035",Unreliable
Allegheny County, PA (42003),139,"1,225,365",11.3
Armstrong County, PA (42005),10,"66,486",Unreliable
Beaver County, PA (42007),24,"167,429",14.3
Berks County, PA (42011),43,"414,812",10.4
Blair County, PA (42013),16,"124,650",Unreliable
Bucks County, PA (42017),73,"626,399",11.7
Butler County, PA (42019),25,"186,847",13.4
Cambria County, PA (42021),23,"134,732",17.1
Carbon County, PA (42025),18,"63,594",Unreliable
Centre County, PA (42027),11,"161,464",Unreliable
Chester County, PA (42029),52,"516,312",10.1
Cumberland County, PA (42041),34,"248,506",13.7
Dauphin County, PA (42043),29,"273,707",10.6
Delaware County, PA (42045),71,"563,402",12.6
Erie County, PA (42049),20,"276,207",7.2
Fayette County, PA (42051),23,"132,733",17.3
Franklin County, PA (42055),20,"153,851",13
Indiana County, PA (42063),12,"86,364",Unreliable
Lackawanna County, PA (42069),32,"211,321",15.1
Lancaster County, PA (42071),89,"538,500",16.5
Lebanon County, PA (42075),18,"138,863",Unreliable
Lehigh County, PA (42077),39,"363,147",10.7
Luzerne County, PA (42079),29,"316,383",9.2
Lycoming County, PA (42081),31,"115,248",26.9
Mercer County, PA (42085),15,"112,913",Unreliable
Monroe County, PA (42089),14,"166,098",Unreliable
Montgomery County, PA (42091),103,"821,725",12.5
Northampton County, PA (42095),39,"302,294",12.9
Philadelphia County, PA (42101),81,"1,567,872",5.2
Schuylkill County, PA (42107),18,"143,573",Unreliable
Somerset County, PA (42111),10,"75,061",Unreliable
Washington County, PA (42125),30,"207,981",14.4
Westmoreland County, PA (42129),52,"355,458",14.6
York County, PA (42133),36,"443,744",8.1
Bristol County, RI (44001),11,"49,067",Unreliable
Kent County, RI (44003),17,"164,614",Unreliable
Newport County, RI (44005),10,"82,784",Unreliable
Providence County, RI (44007),70,"633,673",11
Aiken County, SC (45003),20,"167,458",11.9
